symbol,session_date,scenario,cost_model,reason
MDLZ,2024-01-03,research_fidelity,stressed,max_gross_exposure
XLI,2024-01-03,research_fidelity,stressed,max_gross_exposure
RTX,2024-01-03,research_fidelity,stressed,max_gross_exposure
LLY,2024-01-03,research_fidelity,stressed,max_gross_exposure
AMT,2024-01-03,research_fidelity,stressed,max_gross_exposure
XLRE,2024-01-03,research_fidelity,stressed,max_gross_exposure
CRWD,2024-01-03,intended_deployment,zero,max_concurrent_positions
QQQ,2024-01-03,intended_deployment,zero,max_concurrent_positions
AMD,2024-01-03,intended_deployment,zero,max_concurrent_positions
MRNA,2024-01-03,intended_deployment,zero,max_concurrent_positions
MRK,2024-01-03,intended_deployment,zero,max_concurrent_positions
NEM,2024-01-03,intended_deployment,zero,max_concurrent_positions
DIS,2024-01-03,intended_deployment,zero,max_concurrent_positions
XLP,2024-01-03,intended_deployment,zero,max_concurrent_positions
MO,2024-01-03,intended_deployment,zero,max_concurrent_positions
MDLZ,2024-01-03,intended_deployment,zero,max_concurrent_positions
XLI,2024-01-03,intended_deployment,zero,max_concurrent_positions
RTX,2024-01-03,intended_deployment,zero,max_concurrent_positions
LLY,2024-01-03,intended_deployment,zero,max_concurrent_positions
AMT,2024-01-03,intended_deployment,zero,max_concurrent_positions
XLRE,2024-01-03,intended_deployment,zero,max_concurrent_positions
CRWD,2024-01-03,intended_deployment,baseline,max_concurrent_positions
QQQ,2024-01-03,intended_deployment,baseline,max_concurrent_positions
AMD,2024-01-03,intended_deployment,baseline,max_concurrent_positions
MRNA,2024-01-03,intended_deployment,baseline,max_concurrent_positions
MRK,2024-01-03,intended_deployment,baseline,max_concurrent_positions
NEM,2024-01-03,intended_deployment,baseline,max_concurrent_positions
DIS,2024-01-03,intended_deployment,baseline,max_concurrent_positions
XLP,2024-01-03,intended_deployment,baseline,max_concurrent_positions
MO,2024-01-03,intended_deployment,baseline,max_concurrent_positions
MDLZ,2024-01-03,intended_deployment,baseline,max_concurrent_positions
XLI,2024-01-03,intended_deployment,baseline,max_concurrent_positions
RTX,2024-01-03,intended_deployment,baseline,max_concurrent_positions
LLY,2024-01-03,intended_deployment,baseline,max_concurrent_positions
AMT,2024-01-03,intended_deployment,baseline,max_concurrent_positions
XLRE,2024-01-03,intended_deployment,baseline,max_concurrent_positions
SCHW,2024-01-03,intended_deployment,stressed,max_gross_exposure
CRWD,2024-01-03,intended_deployment,stressed,max_gross_exposure
QQQ,2024-01-03,intended_deployment,stressed,max_gross_exposure
AMD,2024-01-03,intended_deployment,stressed,max_gross_exposure
MRNA,2024-01-03,intended_deployment,stressed,max_gross_exposure
MRK,2024-01-03,intended_deployment,stressed,max_gross_exposure
NEM,2024-01-03,intended_deployment,stressed,max_gross_exposure
DIS,2024-01-03,intended_deployment,stressed,max_gross_exposure
XLP,2024-01-03,intended_deployment,stressed,max_gross_exposure
MO,2024-01-03,intended_deployment,stressed,max_gross_exposure
MDLZ,2024-01-03,intended_deployment,stressed,max_gross_exposure
XLI,2024-01-03,intended_deployment,stressed,max_gross_exposure
RTX,2024-01-03,intended_deployment,stressed,max_gross_exposure
LLY,2024-01-03,intended_deployment,stressed,max_gross_exposure
AMT,2024-01-03,intended_deployment,stressed,max_gross_exposure
XLRE,2024-01-03,intended_deployment,stressed,max_gross_exposure
COF,2024-01-04,research_fidelity,zero,max_gross_exposure
LLY,2024-01-04,research_fidelity,zero,max_gross_exposure
INTC,2024-01-04,research_fidelity,zero,max_gross_exposure
NET,2024-01-04,research_fidelity,zero,max_gross_exposure
AMZN,2024-01-04,research_fidelity,zero,max_gross_exposure
BA,2024-01-04,research_fidelity,zero,max_gross_exposure
TXN,2024-01-04,research_fidelity,zero,max_gross_exposure
PEP,2024-01-04,research_fidelity,zero,max_gross_exposure
QCOM,2024-01-04,research_fidelity,zero,max_gross_exposure
META,2024-01-04,research_fidelity,zero,max_gross_exposure
IBB,2024-01-04,research_fidelity,zero,max_gross_exposure
NEM,2024-01-04,research_fidelity,zero,max_gross_exposure
DVN,2024-01-04,research_fidelity,zero,max_gross_exposure
XLY,2024-01-04,research_fidelity,zero,max_gross_exposure
MRK,2024-01-04,research_fidelity,zero,max_gross_exposure
XLI,2024-01-04,research_fidelity,zero,max_gross_exposure
WFC,2024-01-04,research_fidelity,zero,max_gross_exposure
HON,2024-01-04,research_fidelity,zero,max_gross_exposure
CRWD,2024-01-04,research_fidelity,zero,max_gross_exposure
COF,2024-01-04,research_fidelity,baseline,max_gross_exposure
LLY,2024-01-04,research_fidelity,baseline,max_gross_exposure
INTC,2024-01-04,research_fidelity,baseline,max_gross_exposure
NET,2024-01-04,research_fidelity,baseline,max_gross_exposure
AMZN,2024-01-04,research_fidelity,baseline,max_gross_exposure
BA,2024-01-04,research_fidelity,baseline,max_gross_exposure
TXN,2024-01-04,research_fidelity,baseline,max_gross_exposure
PEP,2024-01-04,research_fidelity,baseline,max_gross_exposure
QCOM,2024-01-04,research_fidelity,baseline,max_gross_exposure
META,2024-01-04,research_fidelity,baseline,max_gross_exposure
IBB,2024-01-04,research_fidelity,baseline,max_gross_exposure
NEM,2024-01-04,research_fidelity,baseline,max_gross_exposure
DVN,2024-01-04,research_fidelity,baseline,max_gross_exposure
XLY,2024-01-04,research_fidelity,baseline,max_gross_exposure
MRK,2024-01-04,research_fidelity,baseline,max_gross_exposure
XLI,2024-01-04,research_fidelity,baseline,max_gross_exposure
WFC,2024-01-04,research_fidelity,baseline,max_gross_exposure
HON,2024-01-04,research_fidelity,baseline,max_gross_exposure
CRWD,2024-01-04,research_fidelity,baseline,max_gross_exposure
COF,2024-01-04,research_fidelity,stressed,max_gross_exposure
LLY,2024-01-04,research_fidelity,stressed,max_gross_exposure
INTC,2024-01-04,research_fidelity,stressed,max_gross_exposure
NET,2024-01-04,research_fidelity,stressed,max_gross_exposure
AMZN,2024-01-04,research_fidelity,stressed,max_gross_exposure
BA,2024-01-04,research_fidelity,stressed,max_gross_exposure
TXN,2024-01-04,research_fidelity,stressed,max_gross_exposure
PEP,2024-01-04,research_fidelity,stressed,max_gross_exposure
QCOM,2024-01-04,research_fidelity,stressed,max_gross_exposure
META,2024-01-04,research_fidelity,stressed,max_gross_exposure
IBB,2024-01-04,research_fidelity,stressed,max_gross_exposure
NEM,2024-01-04,research_fidelity,stressed,max_gross_exposure
DVN,2024-01-04,research_fidelity,stressed,max_gross_exposure
XLY,2024-01-04,research_fidelity,stressed,max_gross_exposure
MRK,2024-01-04,research_fidelity,stressed,max_gross_exposure
XLI,2024-01-04,research_fidelity,stressed,max_gross_exposure
WFC,2024-01-04,research_fidelity,stressed,max_gross_exposure
HON,2024-01-04,research_fidelity,stressed,max_gross_exposure
CRWD,2024-01-04,research_fidelity,stressed,max_gross_exposure
NET,2024-01-04,intended_deployment,zero,max_gross_exposure
AMZN,2024-01-04,intended_deployment,zero,max_gross_exposure
BA,2024-01-04,intended_deployment,zero,max_gross_exposure
TXN,2024-01-04,intended_deployment,zero,max_gross_exposure
PEP,2024-01-04,intended_deployment,zero,max_gross_exposure
QCOM,2024-01-04,intended_deployment,zero,max_gross_exposure
META,2024-01-04,intended_deployment,zero,max_gross_exposure
IBB,2024-01-04,intended_deployment,zero,max_gross_exposure
NEM,2024-01-04,intended_deployment,zero,max_gross_exposure
DVN,2024-01-04,intended_deployment,zero,max_gross_exposure
XLY,2024-01-04,intended_deployment,zero,max_gross_exposure
MRK,2024-01-04,intended_deployment,zero,max_gross_exposure
XLI,2024-01-04,intended_deployment,zero,max_gross_exposure
WFC,2024-01-04,intended_deployment,zero,max_gross_exposure
HON,2024-01-04,intended_deployment,zero,max_gross_exposure
CRWD,2024-01-04,intended_deployment,zero,max_gross_exposure
AMZN,2024-01-04,intended_deployment,baseline,max_concurrent_positions
BA,2024-01-04,intended_deployment,baseline,max_concurrent_positions
TXN,2024-01-04,intended_deployment,baseline,max_concurrent_positions
PEP,2024-01-04,intended_deployment,baseline,max_concurrent_positions
QCOM,2024-01-04,intended_deployment,baseline,max_concurrent_positions
META,2024-01-04,intended_deployment,baseline,max_concurrent_positions
IBB,2024-01-04,intended_deployment,baseline,max_concurrent_positions
NEM,2024-01-04,intended_deployment,baseline,max_concurrent_positions
DVN,2024-01-04,intended_deployment,baseline,max_concurrent_positions
XLY,2024-01-04,intended_deployment,baseline,max_concurrent_positions
MRK,2024-01-04,intended_deployment,baseline,max_concurrent_positions
XLI,2024-01-04,intended_deployment,baseline,max_concurrent_positions
WFC,2024-01-04,intended_deployment,baseline,max_concurrent_positions
HON,2024-01-04,intended_deployment,baseline,max_concurrent_positions
CRWD,2024-01-04,intended_deployment,baseline,max_concurrent_positions
NET,2024-01-04,intended_deployment,stressed,max_gross_exposure
AMZN,2024-01-04,intended_deployment,stressed,max_gross_exposure
BA,2024-01-04,intended_deployment,stressed,max_gross_exposure
TXN,2024-01-04,intended_deployment,stressed,max_gross_exposure
PEP,2024-01-04,intended_deployment,stressed,max_gross_exposure
QCOM,2024-01-04,intended_deployment,stressed,max_gross_exposure
META,2024-01-04,intended_deployment,stressed,max_gross_exposure
IBB,2024-01-04,intended_deployment,stressed,max_gross_exposure
NEM,2024-01-04,intended_deployment,stressed,max_gross_exposure
DVN,2024-01-04,intended_deployment,stressed,max_gross_exposure
XLY,2024-01-04,intended_deployment,stressed,max_gross_exposure
MRK,2024-01-04,intended_deployment,stressed,max_gross_exposure
XLI,2024-01-04,intended_deployment,stressed,max_gross_exposure
WFC,2024-01-04,intended_deployment,stressed,max_gross_exposure
HON,2024-01-04,intended_deployment,stressed,max_gross_exposure
CRWD,2024-01-04,intended_deployment,stressed,max_gross_exposure
PLTR,2024-01-05,research_fidelity,zero,max_gross_exposure
TGT,2024-01-05,research_fidelity,zero,max_gross_exposure
AMT,2024-01-05,research_fidelity,zero,max_gross_exposure
ARM,2024-01-05,research_fidelity,zero,max_gross_exposure
SOXX,2024-01-05,research_fidelity,zero,max_gross_exposure
NET,2024-01-05,research_fidelity,zero,max_gross_exposure
XLRE,2024-01-05,research_fidelity,zero,max_gross_exposure
GILD,2024-01-05,research_fidelity,zero,max_gross_exposure
DE,2024-01-05,research_fidelity,zero,max_gross_exposure
PFE,2024-01-05,research_fidelity,zero,max_gross_exposure
DVN,2024-01-05,research_fidelity,zero,max_gross_exposure
C,2024-01-05,research_fidelity,zero,max_gross_exposure
CAT,2024-01-05,research_fidelity,zero,max_gross_exposure
CRWD,2024-01-05,research_fidelity,zero,max_gross_exposure
AMD,2024-01-05,research_fidelity,zero,max_gross_exposure
HON,2024-01-05,research_fidelity,zero,max_gross_exposure
QQQ,2024-01-05,research_fidelity,zero,max_gross_exposure
UNH,2024-01-05,research_fidelity,zero,max_gross_exposure
SPY,2024-01-05,research_fidelity,zero,max_gross_exposure
PLTR,2024-01-05,research_fidelity,baseline,max_gross_exposure
TGT,2024-01-05,research_fidelity,baseline,max_gross_exposure
AMT,2024-01-05,research_fidelity,baseline,max_gross_exposure
ARM,2024-01-05,research_fidelity,baseline,max_gross_exposure
SOXX,2024-01-05,research_fidelity,baseline,max_gross_exposure
NET,2024-01-05,research_fidelity,baseline,max_gross_exposure
XLRE,2024-01-05,research_fidelity,baseline,max_gross_exposure
GILD,2024-01-05,research_fidelity,baseline,max_gross_exposure
DE,2024-01-05,research_fidelity,baseline,max_gross_exposure
PFE,2024-01-05,research_fidelity,baseline,max_gross_exposure
DVN,2024-01-05,research_fidelity,baseline,max_gross_exposure
C,2024-01-05,research_fidelity,baseline,max_gross_exposure
CAT,2024-01-05,research_fidelity,baseline,max_gross_exposure
CRWD,2024-01-05,research_fidelity,baseline,max_gross_exposure
AMD,2024-01-05,research_fidelity,baseline,max_gross_exposure
HON,2024-01-05,research_fidelity,baseline,max_gross_exposure
QQQ,2024-01-05,research_fidelity,baseline,max_gross_exposure
UNH,2024-01-05,research_fidelity,baseline,max_gross_exposure
SPY,2024-01-05,research_fidelity,baseline,max_gross_exposure
PLTR,2024-01-05,research_fidelity,stressed,max_gross_exposure
TGT,2024-01-05,research_fidelity,stressed,max_gross_exposure
AMT,2024-01-05,research_fidelity,stressed,max_gross_exposure
ARM,2024-01-05,research_fidelity,stressed,max_gross_exposure
SOXX,2024-01-05,research_fidelity,stressed,max_gross_exposure
NET,2024-01-05,research_fidelity,stressed,max_gross_exposure
XLRE,2024-01-05,research_fidelity,stressed,max_gross_exposure
GILD,2024-01-05,research_fidelity,stressed,max_gross_exposure
DE,2024-01-05,research_fidelity,stressed,max_gross_exposure
PFE,2024-01-05,research_fidelity,stressed,max_gross_exposure
DVN,2024-01-05,research_fidelity,stressed,max_gross_exposure
C,2024-01-05,research_fidelity,stressed,max_gross_exposure
CAT,2024-01-05,research_fidelity,stressed,max_gross_exposure
CRWD,2024-01-05,research_fidelity,stressed,max_gross_exposure
AMD,2024-01-05,research_fidelity,stressed,max_gross_exposure
HON,2024-01-05,research_fidelity,stressed,max_gross_exposure
QQQ,2024-01-05,research_fidelity,stressed,max_gross_exposure
UNH,2024-01-05,research_fidelity,stressed,max_gross_exposure
SPY,2024-01-05,research_fidelity,stressed,max_gross_exposure
SOXX,2024-01-05,intended_deployment,zero,max_concurrent_positions
NET,2024-01-05,intended_deployment,zero,max_concurrent_positions
XLRE,2024-01-05,intended_deployment,zero,max_concurrent_positions
GILD,2024-01-05,intended_deployment,zero,max_concurrent_positions
DE,2024-01-05,intended_deployment,zero,max_concurrent_positions
PFE,2024-01-05,intended_deployment,zero,max_concurrent_positions
DVN,2024-01-05,intended_deployment,zero,max_concurrent_positions
C,2024-01-05,intended_deployment,zero,max_concurrent_positions
CAT,2024-01-05,intended_deployment,zero,max_concurrent_positions
CRWD,2024-01-05,intended_deployment,zero,max_concurrent_positions
AMD,2024-01-05,intended_deployment,zero,max_concurrent_positions
HON,2024-01-05,intended_deployment,zero,max_concurrent_positions
QQQ,2024-01-05,intended_deployment,zero,max_concurrent_positions
UNH,2024-01-05,intended_deployment,zero,max_concurrent_positions
SPY,2024-01-05,intended_deployment,zero,max_concurrent_positions
SOXX,2024-01-05,intended_deployment,baseline,max_concurrent_positions
NET,2024-01-05,intended_deployment,baseline,max_concurrent_positions
XLRE,2024-01-05,intended_deployment,baseline,max_concurrent_positions
GILD,2024-01-05,intended_deployment,baseline,max_concurrent_positions
DE,2024-01-05,intended_deployment,baseline,max_concurrent_positions
PFE,2024-01-05,intended_deployment,baseline,max_concurrent_positions
DVN,2024-01-05,intended_deployment,baseline,max_concurrent_positions
C,2024-01-05,intended_deployment,baseline,max_concurrent_positions
CAT,2024-01-05,intended_deployment,baseline,max_concurrent_positions
CRWD,2024-01-05,intended_deployment,baseline,max_concurrent_positions
AMD,2024-01-05,intended_deployment,baseline,max_concurrent_positions
HON,2024-01-05,intended_deployment,baseline,max_concurrent_positions
QQQ,2024-01-05,intended_deployment,baseline,max_concurrent_positions
UNH,2024-01-05,intended_deployment,baseline,max_concurrent_positions
SPY,2024-01-05,intended_deployment,baseline,max_concurrent_positions
SOXX,2024-01-05,intended_deployment,stressed,max_concurrent_positions
NET,2024-01-05,intended_deployment,stressed,max_concurrent_positions
XLRE,2024-01-05,intended_deployment,stressed,max_concurrent_positions
GILD,2024-01-05,intended_deployment,stressed,max_concurrent_positions
DE,2024-01-05,intended_deployment,stressed,max_concurrent_positions
PFE,2024-01-05,intended_deployment,stressed,max_concurrent_positions
DVN,2024-01-05,intended_deployment,stressed,max_concurrent_positions
C,2024-01-05,intended_deployment,stressed,max_concurrent_positions
CAT,2024-01-05,intended_deployment,stressed,max_concurrent_positions
CRWD,2024-01-05,intended_deployment,stressed,max_concurrent_positions
AMD,2024-01-05,intended_deployment,stressed,max_concurrent_positions
HON,2024-01-05,intended_deployment,stressed,max_concurrent_positions
QQQ,2024-01-05,intended_deployment,stressed,max_concurrent_positions
UNH,2024-01-05,intended_deployment,stressed,max_concurrent_positions
SPY,2024-01-05,intended_deployment,stressed,max_concurrent_positions
TXN,2024-01-08,research_fidelity,zero,max_gross_exposure
RTX,2024-01-08,research_fidelity,zero,max_gross_exposure
PSX,2024-01-08,research_fidelity,zero,max_gross_exposure
SLB,2024-01-08,research_fidelity,zero,max_gross_exposure
XLE,2024-01-08,research_fidelity,zero,max_gross_exposure
NEM,2024-01-08,research_fidelity,zero,max_gross_exposure
JPM,2024-01-08,research_fidelity,zero,max_gross_exposure
ABT,2024-01-08,research_fidelity,zero,max_gross_exposure
ADBE,2024-01-08,research_fidelity,zero,max_gross_exposure
MO,2024-01-08,research_fidelity,zero,max_gross_exposure
MSFT,2024-01-08,research_fidelity,zero,max_gross_exposure
WFC,2024-01-08,research_fidelity,zero,max_gross_exposure
AXP,2024-01-08,research_fidelity,zero,max_gross_exposure
MDT,2024-01-08,research_fidelity,zero,max_gross_exposure
MRVL,2024-01-08,research_fidelity,zero,max_gross_exposure
MRNA,2024-01-08,research_fidelity,zero,max_gross_exposure
DVN,2024-01-08,research_fidelity,zero,max_gross_exposure
UBER,2024-01-08,research_fidelity,zero,max_gross_exposure
NVDA,2024-01-08,research_fidelity,zero,max_gross_exposure
TXN,2024-01-08,research_fidelity,baseline,max_gross_exposure
RTX,2024-01-08,research_fidelity,baseline,max_gross_exposure
PSX,2024-01-08,research_fidelity,baseline,max_gross_exposure
SLB,2024-01-08,research_fidelity,baseline,max_gross_exposure
XLE,2024-01-08,research_fidelity,baseline,max_gross_exposure
NEM,2024-01-08,research_fidelity,baseline,max_gross_exposure
JPM,2024-01-08,research_fidelity,baseline,max_gross_exposure
ABT,2024-01-08,research_fidelity,baseline,max_gross_exposure
ADBE,2024-01-08,research_fidelity,baseline,max_gross_exposure
MO,2024-01-08,research_fidelity,baseline,max_gross_exposure
MSFT,2024-01-08,research_fidelity,baseline,max_gross_exposure
WFC,2024-01-08,research_fidelity,baseline,max_gross_exposure
AXP,2024-01-08,research_fidelity,baseline,max_gross_exposure
MDT,2024-01-08,research_fidelity,baseline,max_gross_exposure
MRVL,2024-01-08,research_fidelity,baseline,max_gross_exposure
MRNA,2024-01-08,research_fidelity,baseline,max_gross_exposure
DVN,2024-01-08,research_fidelity,baseline,max_gross_exposure
UBER,2024-01-08,research_fidelity,baseline,max_gross_exposure
NVDA,2024-01-08,research_fidelity,baseline,max_gross_exposure
TXN,2024-01-08,research_fidelity,stressed,max_gross_exposure
